,%time,field.header.seq,field.header.stamp,field.header.frame_id,field.timestamp_,field.frame_number_,field.left_host_lane_.header.seq,field.left_host_lane_.header.stamp,field.left_host_lane_.header.frame_id,field.left_host_lane_.lane_id_,field.left_host_lane_.lane_track_status_,field.left_host_lane_.lane_exsit_conf_,field.left_host_lane_.lane_type_,field.left_host_lane_.lane_type_conf_,field.left_host_lane_.lane_color_,field.left_host_lane_.line_width_,field.left_host_lane_.coeffA_,field.left_host_lane_.coeffA_std_,field.left_host_lane_.coeffB_,field.left_host_lane_.coeffB_std_,field.left_host_lane_.coeffC_,field.left_host_lane_.coeffC_std_,field.left_host_lane_.coeffD_,field.left_host_lane_.coeffD_std_,field.left_host_lane_.lane_startX_,field.left_host_lane_.lane_startY_,field.left_host_lane_.lane_end_,field.left_host_lane_.lane_total_age_,field.left_host_lane_.lane_init_age_,field.left_host_lane_.lane_measure_age_,field.left_host_lane_.lane_predict_age_,field.left_host_lane_.lane_change_,field.right_host_lane_.header.seq,field.right_host_lane_.header.stamp,field.right_host_lane_.header.frame_id,field.right_host_lane_.lane_id_,field.right_host_lane_.lane_track_status_,field.right_host_lane_.lane_exsit_conf_,field.right_host_lane_.lane_type_,field.right_host_lane_.lane_type_conf_,field.right_host_lane_.lane_color_,field.right_host_lane_.line_width_,field.right_host_lane_.coeffA_,field.right_host_lane_.coeffA_std_,field.right_host_lane_.coeffB_,field.right_host_lane_.coeffB_std_,field.right_host_lane_.coeffC_,field.right_host_lane_.coeffC_std_,field.right_host_lane_.coeffD_,field.right_host_lane_.coeffD_std_,field.right_host_lane_.lane_startX_,field.right_host_lane_.lane_startY_,field.right_host_lane_.lane_end_,field.right_host_lane_.lane_total_age_,field.right_host_lane_.lane_init_age_,field.right_host_lane_.lane_measure_age_,field.right_host_lane_.lane_predict_age_,field.right_host_lane_.lane_change_,field.left_neigbour_lane_.header.seq,field.left_neigbour_lane_.header.stamp,field.left_neigbour_lane_.header.frame_id,field.left_neigbour_lane_.lane_id_,field.left_neigbour_lane_.lane_track_status_,field.left_neigbour_lane_.lane_exsit_conf_,field.left_neigbour_lane_.lane_type_,field.left_neigbour_lane_.lane_type_conf_,field.left_neigbour_lane_.lane_color_,field.left_neigbour_lane_.line_width_,field.left_neigbour_lane_.coeffA_,field.left_neigbour_lane_.coeffA_std_,field.left_neigbour_lane_.coeffB_,field.left_neigbour_lane_.coeffB_std_,field.left_neigbour_lane_.coeffC_,field.left_neigbour_lane_.coeffC_std_,field.left_neigbour_lane_.coeffD_,field.left_neigbour_lane_.coeffD_std_,field.left_neigbour_lane_.lane_startX_,field.left_neigbour_lane_.lane_startY_,field.left_neigbour_lane_.lane_end_,field.left_neigbour_lane_.lane_total_age_,field.left_neigbour_lane_.lane_init_age_,field.left_neigbour_lane_.lane_measure_age_,field.left_neigbour_lane_.lane_predict_age_,field.left_neigbour_lane_.lane_change_,field.right_neigbour_lane_.header.seq,field.right_neigbour_lane_.header.stamp,field.right_neigbour_lane_.header.frame_id,field.right_neigbour_lane_.lane_id_,field.right_neigbour_lane_.lane_track_status_,field.right_neigbour_lane_.lane_exsit_conf_,field.right_neigbour_lane_.lane_type_,field.right_neigbour_lane_.lane_type_conf_,field.right_neigbour_lane_.lane_color_,field.right_neigbour_lane_.line_width_,field.right_neigbour_lane_.coeffA_,field.right_neigbour_lane_.coeffA_std_,field.right_neigbour_lane_.coeffB_,field.right_neigbour_lane_.coeffB_std_,field.right_neigbour_lane_.coeffC_,field.right_neigbour_lane_.coeffC_std_,field.right_neigbour_lane_.coeffD_,field.right_neigbour_lane_.coeffD_std_,field.right_neigbour_lane_.lane_startX_,field.right_neigbour_lane_.lane_startY_,field.right_neigbour_lane_.lane_end_,field.right_neigbour_lane_.lane_total_age_,field.right_neigbour_lane_.lane_init_age_,field.right_neigbour_lane_.lane_measure_age_,field.right_neigbour_lane_.lane_predict_age_,field.right_neigbour_lane_.lane_change_
6,1634697437779463209,20448,1634697360486337190,,0,0,0,0,,111,0,0,1,0,0,0.0,-2.08400011063,0.0,0.000600000028498,0.0,0.00101999996696,0.0,-6.35000014881e-06,0.0,0.0,0.0,21.6900005341,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.57700002193,0.0,0.00159999995958,0.0,0.000920000020415,0.0,-1.34399997478e-05,0.0,0.0,0.0,44.3699989319,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
19,1634697439579294315,20484,1634697362286330350,,0,0,0,0,,111,0,0,1,0,0,0.0,-2.08699989319,0.0,0.00499999988824,0.0,0.000880000006873,0.0,-2.09999996059e-07,0.0,0.0,0.0,31.4599990845,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.49399995804,0.0,0.000399999989895,0.0,0.00115000002552,0.0,2.08000005841e-06,0.0,0.0,0.0,39.5800018311,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
22,1634697439829437625,20489,1634697362536619410,,0,0,0,0,,111,0,0,1,0,0,0.0,-2.06500005722,0.0,0.00510000018403,0.0,0.000880000006873,0.0,-2.09999996059e-07,0.0,0.0,0.0,5.94000005722,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.46000003815,0.0,0.000699999975041,0.0,0.00121999997646,0.0,1.36999994993e-06,0.0,0.0,0.0,15.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
26,1634697440778532996,20508,1634697363486164050,,0,0,0,0,,118,0,0,1,0,0,0.0,-2.132999897,0.0,0.0156999994069,0.0,0.00124999997206,0.0,-4.319999789e-06,0.0,0.0,0.0,16.0,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.49100005627,0.0,0.0156999994069,0.0,0.00124999997206,0.0,-4.319999789e-06,0.0,0.0,0.0,59.7000007629,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
34,1634697442927599765,20551,1634697365636809370,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.78999996185,0.0,0.000699999975041,0.0,0.00109000003431,0.0,-7.59999977618e-07,0.0,0.0,0.0,52.7900009155,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.69900000095,0.0,-0.00089999998454,0.0,0.00109000003431,0.0,-6.80000027842e-07,0.0,0.0,0.0,50.7200012207,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
35,1634697442976840441,20552,1634697365686037420,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.78900003433,0.0,0.000399999989895,0.0,0.00109000003431,0.0,-7.59999977618e-07,0.0,0.0,0.0,52.7900009155,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.66100001335,0.0,-0.00279999990016,0.0,0.00109000003431,0.0,-6.09999972312e-07,0.0,0.0,0.0,50.7200012207,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
36,1634697443327067003,20559,1634697366036410440,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.8409999609,0.0,0.00139999995008,0.0,0.00109000003431,0.0,-1.41999998959e-06,0.0,0.0,0.0,44.0200004578,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.64900004864,0.0,-0.000699999975041,0.0,0.00109999999404,0.0,-1.17000001865e-06,0.0,0.0,0.0,33.0299987793,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
38,1634697444228414817,20577,1634697366936374570,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.86399996281,0.0,0.00879999995232,0.0,0.00106000003871,0.0,-5.49999981558e-07,0.0,0.0,0.0,57.9599990845,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.59200000763,0.0,0.00800000037998,0.0,0.00106000003871,0.0,-5.30000022536e-07,0.0,0.0,0.0,64.9300003052,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
39,1634697444277163137,20578,1634697366986227940,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.85000002384,0.0,0.00960000045598,0.0,0.00106000003871,0.0,-5.59999989491e-07,0.0,0.0,0.0,57.9599990845,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.59300005436,0.0,0.00669999979436,0.0,0.00106000003871,0.0,-4.30000000051e-07,0.0,0.0,0.0,64.9300003052,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
40,1634697444326763784,20579,1634697367036096920,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.84599995613,0.0,0.00980000011623,0.0,0.00106000003871,0.0,-5.59999989491e-07,0.0,0.0,0.0,57.9599990845,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.59599995613,0.0,0.00700000021607,0.0,0.00106000003871,0.0,-4.30000000051e-07,0.0,0.0,0.0,64.9300003052,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
